Project,Date,Chinook Run,Chin,Chin10Yr,JChin,JChin10Yr,Stlhd,Stlhd10Yr,WStlhd,WStlhd10Yr,Sock,Sock10Yr,Coho,Coho10Yr,JCoho,JCoho10Yr,Shad,Shad10Yr,LmpryDay,LmpryNight,LmpryLPS,LmpryDay10Yr,BTrout,BTrout10Yr,Chum,Chum10Yr,Pink,TempC
Bonneville,2025-10-27,Fa,695,291,70,52,141,51,68,18,,,1162,428,100,35,,,,,,,,,2,2,,
Bonneville,2025-10-28,Fa,231,212,56,48,105,53,57,19,,,1665,327,101,23,,,,,,,,,21,5,,
Bonneville,2025-10-29,Fa,227,273,50,44,46,70,26,34,,,1161,588,87,47,,,-1,,,,,,12,4,,
Bonneville,2025-10-30,Fa,224,167,64,27,49,56,23,27,,,858,363,59,27,,,,,,,,,22,2,,
Bonneville,2025-10-31,Fa,244,160,45,31,29,40,11,15,,,437,310,34,29,,,,,,3,,,16,7,,
Bonneville,2025-11-01,Fa,57,170,20,26,34,53,16,20,,,514,300,29,27,,,,,,3,,,16,10,,
Bonneville,2025-11-02,Fa,60,157,17,21,38,52,16,17,,,657,351,57,27,,,1,,,3,,,37,12,,
Bonneville,2025-11-03,Fa,166,164,37,18,35,55,23,24,,,315,349,36,29,,,,,,2,,,33,12,,
Bonneville,2025-11-04,Fa,132,141,33,16,18,52,11,22,,,316,227,38,17,,,,,,1,,,26,11,,
Bonneville,2025-11-05,Fa,58,245,16,21,34,50,15,21,,,184,256,22,20,,,,,,1,,,18,12,,
Bonneville,2025-11-06,Fa,38,184,13,16,30,57,14,23,,,107,252,14,20,,,,,,,,,21,9,,
Bonneville,2025-11-07,Fa,11,105,1,11,18,46,9,19,,,169,207,19,16,,,,,,1,,,46,9,,
Bonneville,2025-11-08,Fa,15,64,3,10,31,43,11,20,,,175,156,10,13,,,,,,,,,12,12,,
Bonneville,2025-11-09,Fa,6,66,4,8,26,33,15,13,,,149,80,6,6,,,,,,,,,24,12,,
Bonneville,2025-11-10,Fa,23,54,2,6,22,30,11,10,,,93,97,5,8,,,,,,,,,22,11,,
Bonneville,2025-11-11,Fa,19,52,1,7,27,25,19,13,,,27,91,1,4,,,,,,,,,14,12,,
Bonneville,2025-11-12,Fa,13,61,1,6,24,22,11,9,,,28,301,1,15,,,-1,,,,,,12,19,,
Bonneville,2025-11-13,Fa,27,46,5,7,14,18,7,8,,,23,511,5,33,,,,,,,,,22,18,,
Bonneville,2025-11-14,Fa,11,54,1,8,17,18,10,8,,,7,223,1,9,,,,,,,,,8,18,,
Bonneville,2025-11-15,Fa,9,33,2,4,16,17,12,7,,,11,129,1,10,,,,,,,,,13,14,,
Bonneville,2025-11-16,,6,28,2,4,8,20,4,8,,,14,92,2,6,,,,,,,,,15,14,,
Bonneville,2025-11-17,,1,22,-1,2,11,16,7,8,,,13,44,3,3,,,,,,6,,,8,15,,
Bonneville,2025-11-18,,8,26,1,3,12,20,2,8,,,13,52,,3,,,,,,1,,,10,18,,
Bonneville,2025-11-19,,-2,21,1,1,9,16,5,6,,,15,63,,6,,,,,,1,,,4,18,,
Bonneville,2025-11-20,,4,28,1,3,9,18,2,8,,,2,44,2,5,,,,,,,,,5,8,,
Bonneville,2025-11-21,,2,11,1,3,6,14,4,7,,,1,35,,3,,,,,,,,,17,8,,
Bonneville,2025-11-22,,3,12,,3,9,16,2,7,,,8,39,,3,,,,,,,,,3,6,,
Bonneville,2025-11-23,,,11,,1,9,17,3,6,,,2,19,1,2,,,,,,,,,7,7,,
Bonneville,2025-11-24,,4,15,,2,8,16,5,7,,,9,30,1,3,,,,,,,,,6,5,,
Bonneville,2025-11-25,,5,12,,2,8,16,6,6,,,3,24,1,2,,,,,,,,,5,3,,
Bonneville,2025-11-26,,3,8,1,1,7,17,8,7,,,5,11,,,,,,,,,,,10,1,,
Bonneville,2025-11-27,,2,7,,1,17,12,11,5,,,4,10,1,1,,,,,,,,,2,3,,
Bonneville,2025-11-28,,-1,4,1,1,12,15,10,6,,,10,12,4,,,,,,,,,,4,3,,
Bonneville,2025-11-29,,2,7,,1,18,12,11,5,,,12,16,,1,,,,,,,,,8,1,,
Bonneville,2025-11-30,,1,6,,,4,15,2,5,,,8,4,,1,,,,,,,,,2,1,,
Bonneville,2025-12-01,,,4,,,16,11,10,5,,,4,6,2,1,,,,,,,,,-1,1,,
Bonneville,2025-12-02,,-2,3,,,11,12,6,5,,,1,6,,,,,,,,,,,,,,
Bonneville,2025-12-03,,3,3,1,,11,10,4,4,,,2,7,,1,,,,,,,,,,,,
Bonneville,2025-12-04,,3,3,-1,1,8,12,4,5,,,6,5,,1,,,,,,,,,,,,
Bonneville,2025-12-05,,5,2,,,7,8,4,2,,,7,6,,,,,,,,,,,,,,
Bonneville,2025-12-06,,11,3,2,,11,7,3,3,,,31,5,4,,,,-2,,,,,,,,,
Bonneville,2025-12-07,,2,2,,1,-1,15,1,5,,,9,7,-1,,,,,,,,,,1,,,
Bonneville,2025-12-08,,,2,,,12,10,4,4,,,7,8,,,,,,,,1,,,,,,
Bonneville,2025-12-09,,2,1,1,,9,8,3,3,,,2,6,,1,,,,,,,,,,,,
Bonneville,2025-12-10,,1,1,,,17,9,7,4,,,-4,3,,,,,,,,-1,,,,,,
Bonneville,2025-12-11,,1,2,,,-1,13,2,6,,,3,4,,,,,,,,,,,,,,
Bonneville,2025-12-12,,,4,,1,21,16,14,8,,,-1,48,,3,,,,,,,,,,,,
Bonneville,2025-12-13,,-1,4,,1,45,17,25,8,,,1,103,,9,,,,,,,,,,1,,
Bonneville,2025-12-14,,,1,,1,44,17,25,8,,,2,5,-1,,,,,,,,,,,,,
Bonneville,2025-12-15,,,1,-1,,30,15,13,7,,,-2,3,,,,,,,,,,,1,,,
Bonneville,2025-12-16,,-1,1,,,26,13,13,6,,,-1,2,,,,,,,,,,,,,,
Bonneville,2025-12-17,,1,1,,,44,11,17,5,,,,1,,,,,,,,,,,,,,
Bonneville,2025-12-18,,,1,,,22,13,9,5,,,,41,,2,,,,,,,,,,,,
Bonneville,2025-12-19,,,1,,,9,10,1,3,,,,60,,8,,,,,,,,,,,,
Bonneville,2025-12-20,,,1,,,5,17,3,6,,,,84,,8,,,,,,,,,,,,
Bonneville,2025-12-21,,,2,,,17,14,10,5,,,,18,,5,,,,,,,,,,,,
Bonneville,2025-12-22,,,1,,,2,15,,6,,,,7,,2,,,,,,,,,,,,
Bonneville,2025-12-23,,1,1,,,5,12,4,5,,,,2,,,,,,,,,,,,,,
Bonneville,2025-12-24,,,,,,-2,12,,5,,,,1,,,,,,,,,,,,,,
Bonneville,2025-12-25,,,,,,3,13,1,7,,,,1,,,,,,,,,,,,,,
Bonneville,2025-12-26,,,,,,36,12,35,5,,,,1,,1,,,,,,,,,,,,
Bonneville,2025-12-27,,,1,,1,9,12,1,4,,,,1,,,,,,,,,,,,,,
Bonneville,2025-12-28,,,,,,23,12,8,5,,,1,,,,,,,,,,,,,,,
Bonneville,2025-12-29,,,,,,22,10,5,4,,,,1,,,,,,,,,,,,,,
Bonneville,2025-12-30,,,,,,19,13,5,6,,,,6,,1,,,,,,,,,,,,
Bonneville,2025-12-31,,,,,,18,12,7,4,,,,1,,,,,,,,,,,,,,
Notes:
Columbia River DART
2025 Adult Passage Daily Counts at Bonneville
with 10 Year Daily Averages (2015 - 2024)
2025-01-01 to 2025-12-31
Generated 04 Feb 2026 05:26:12 PST. DART Adult Passage Daily Counts www.cbr.washington.edu/dart/query/adult_daily.
Data Courtesy of U.S. Army Corps of Engineers.
USACE Data Disclaimer: These data are furnished with the understanding that the U.S. Army Corps of 
Engineers makes no warranties concerning the accuracy; reliability; or suitability of this data for any particular 
purpose.
USACE Dams Video and Live Counting: From November through March; video tape fish counting occurs 
at US Army Corps of Engineers dams with fish ladders on the Columbia and Snake Rivers. Fish counting by video tape 
takes at least a few days to process: the fish counters have to make; collect; and read the tapes; and then submit 
their fish counts. DART retrieves and posts the data as soon as it is made available. On April 1; live fish counting 
resumes at all 8 Columbia River and Snake River Corps dams with fish ladders: from April through October each year 
for 16 hours each day; fish counters working at each fish ladder look directly into the fish ladders to count the 
fish passing by.
Temperature (TempC) is reported in degrees Celsius. Source of temperature  data varies by project. At most projects; it is scrollcase or water quality temperature data. At Wells; it is the Fishway Attraction Flow temperature which is pumped from tailrace.
Calculating the 10 year averages: The ten year averages are calculated by DART for each calendar 
day of data at each project. For the current year and any given project/month/day; the data is summed from the 
previous 10 years and divided by the number of non-null data points available during that 10 year span.
Steelhead Counts: The Steelhead parameter includes both hatchery and wild counts. Prior to 1995 
wild steelhead data was not published on a daily basis. The Steelhead-Wild parameter is a subset of the total 
steelhead and may include unmarked hatchery fish.
Chinook Run Dates: Chinook runs (referring to the season when adults migrate upstream) are based on run schedules by project as reported by the U.S. Army Corps of Engineers; Yakima Klickitat Fisheries Project and Oregon Department of Fish and Wildlife.
Lamprey Counts: Historically; DART has only offered daytime counts (fish counting hours 1-16) which were identified as Lamprey but not specified as daytime counts. As of 2025-11-14; where available; DART offers up to three mutually exclusive lamprey counts: daytime fishway ladder counts (hours 1-16); nighttime fishway ladder counts (hours 17-24); and LPS (24 hour count in Lamprey Passage Systems).
"DART Data Citation. Columbia River DART, Columbia Basin Research, University of Washington. (2026). Adult Passage Daily Counts. Available from https://www.cbr.washington.edu/dart/query/adult_daily."
